ID-0,Name-1,Description-2,Player roles-3,initial threat level (0-20) -4,online mode available - 5,Image - 6,area danger level (0-100)-7
DISABLED,Defenses Overrun,"Your team has secured and fortified a map section. They have built defenses from the rubble of a collapsed building in order protect a cleared supply route through the city. Your tribe knows that this route would give their enemy a pronounced advantage in future confrontations. Your team has been sent to destroy the fort before it can be further reinforced. Since you are tasked with attacking a fortification, you have been allowed a larger team for this mission.","1,2",5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,20
2,Fight to the Death,Rival gangs have challenged each other to a street battle. Old scores will finally be settled. Kill as many of your opponent's troops as possible - spare no one.,3,10,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,40
DISABLED,Resource Run,Scavenging parties from two different tribes have located a broken down supply truck in the city. They are now rushing to be the first to claim it. Get to the supply truck and claim the supplies before your opponent. You must escape to a table edge with the cargo to recover the supplies for your village.,4,5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,20
DISABLED,Ambush,"Your team has ventured into the inner city to scavenge for supplies. They are now returning to their encampment outside the city with the supplies they captured, when suddenly they are attacked by a rival gang. The attackers had secretly watched them enter the inner city, and in order to avoid risking their own lives, simply waited for your scavenging party to return with the supplies. They now wait in ambush, blocking your escape. To their surprise, you return with a zombie horde in tow.","5,6",5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,20
DISABLED,Solo,,7,5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,60
DISABLED,Supply Drop,"A captured message tells of emergency supply crates that have been hidden in this part of the ruined city. Your team must search each section of the board until they find it. Act quickly, though, for your tribe doesn't know if they were the only ones that intercepted the message. Control and scavenge a specific map section to find a hidden supply cache.",8,10,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,100
DISABLED,Scrapyard,Your commands were to raid a known megacity scrapyard to find replacement parts for a weapons factory. These valuable machine parts will likely not be found in the same place. Control and scavenge multiple map sections to find scattered machine parts,8,5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,50
8,VIP,Your tribe is attempting to transport a man with valuable information to a more defensible location. He has been disguised as a member of your team to keep him safe in case of an attack. Get the VIP across through this sector and off the table alive. The main objective of the attacking player is to locate a kill the VIP before time runs out. The secondary objective of the attacking player is to prevent the VIP from escaping before time runs out.,"7,11",10,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,20
DISABLED,POW Caravan,"The defending player must move their gang and the captured POWS across the city and off the table. The more POWS that make it off the table as part of the caravan, the more points the defending player will recieve. The attacking player must free the POWS (by remaining in base-to-base contact for a full turn) before they are dragged off the table. The more POWS that are freed, the more points the attacking player will receive. Freed POWS flee toward the closest table edge at a rate of 10"" per turn. The POWS are unarmed, and therefore susceptible to zombie or enemy attack.","5,6",5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,25
DISABLED,Empty Chamber,"Unfortunately, your team was in the field much longer than anticipated. After weeks of battling droves of living dead and enemy combatants, your supplies have dwindled. Knowing there is a supply cache in the area, you have come seeking the bullets needed to get you back home. Players' teams start the scenario without any ammunition. Characters must reach the supply drop to obtain ammunition. Before reaching the supply drop, all characters are limited to close combat attacks.",3,5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,20
DISABLED,The Vault,"A band of nomadic survirors have been spreading rumors of an untouched supply cache in the bomb shelter beneath a hospital on the outskirts of town. It is said to contain medical supplies, rations, and weapons. Your tribe paid the nomads for detailed information. Unfortunately, they sold two tribes the same information. Both tribes have sent small scavenging teams into the area to see if the information is accurate.

The nomads informed your tribe that the bomb shelter has a heavy, blast door, which is still intact, but the key is somewhere near the hospital. In order to open it, the hospital map area must be cleared of opponents and zombies, then scavenged for the key. Then the unit with the key must take it to the bomb shelter to access the supply cache.","7,8",5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,40
DISABLED,Freedom or Death,"During a recent raid on a on your tribe's village, your opponent's tribe made off with several captives. You know that these captives will become slaves… or worse. To try to free your people before it's too late, your tribe has sent a small force in pursuit of the raiding party. The enemy has tied up their captives inside an abandoned building while they make camp. You must free your fellow tribesmen (through base-to-base contact for at least 1 turn). Your opponent must prevent you from freeing the captives.","9,10",5,TRUE,file:///android_asset/scenarios/scenario_zombies_snow.jpg,33
